"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_HD_nonspatial.nlogo"
"experiment"
"12/10/2014 13:39:20:231 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","initial_propD","popsize","baseline_fitness","benefit","cost","[step]","count players with [strategy = ""C""] / count players"
"3","0.01","2500","0","1","0","18","1"
"2","0.01","2500","0","1","0","24","1"
"4","0.01","2500","0","1","0","36","1"
"5","0.01","2500","0","1","0","37","1"
"7","0.01","2500","0","1","0","53","1"
"6","0.01","2500","0","1","0","92","1"
"8","0.01","2500","0","1","0","81","1"
"1","0.01","2500","0","1","0","108","1"
"11","0.01","2500","0","1","0.0952381","46","1"
"10","0.01","2500","0","1","0","86","1"
"9","0.01","2500","0","1","0","157","1"
"15","0.01","2500","0","1","0.0952381","43","1"
"14","0.01","2500","0","1","0.0952381","287","1"
"16","0.01","2500","0","1","0.0952381","378","1"
"13","0.01","2500","0","1","0.0952381","997","1"
"17","0.01","2500","0","1","0.0952381","1583","1"
"19","0.01","2500","0","1","0.0952381","2231","1"
"18","0.01","2500","0","1","0.0952381","3538","1"
"12","0.01","2500","0","1","0.0952381","5000","0.9608"
"20","0.01","2500","0","1","0.0952381","5000","0.9632"
"21","0.01","2500","0","1","0.1818182","5000","0.9224"
"22","0.01","2500","0","1","0.1818182","5000","0.8796"
"24","0.01","2500","0","1","0.1818182","5000","0.9176"
"23","0.01","2500","0","1","0.1818182","5000","0.9196"
"26","0.01","2500","0","1","0.1818182","5000","0.8816"
"25","0.01","2500","0","1","0.1818182","5000","0.8736"
"27","0.01","2500","0","1","0.1818182","5000","0.8912"
"29","0.01","2500","0","1","0.1818182","5000","0.91"
"30","0.01","2500","0","1","0.1818182","5000","0.8732"
"28","0.01","2500","0","1","0.1818182","5000","0.9028"
"31","0.01","2500","0","1","0.2608696","5000","0.854"
"32","0.01","2500","0","1","0.2608696","5000","0.8192"
"33","0.01","2500","0","1","0.2608696","5000","0.8616"
"34","0.01","2500","0","1","0.2608696","5000","0.8448"
"35","0.01","2500","0","1","0.2608696","5000","0.8732"
"36","0.01","2500","0","1","0.2608696","5000","0.8324"
"37","0.01","2500","0","1","0.2608696","5000","0.8452"
"39","0.01","2500","0","1","0.2608696","5000","0.858"
"38","0.01","2500","0","1","0.2608696","5000","0.8544"
"40","0.01","2500","0","1","0.2608696","5000","0.8604"
"41","0.01","2500","0","1","0.3333333","5000","0.8084"
"42","0.01","2500","0","1","0.3333333","5000","0.7904"
"44","0.01","2500","0","1","0.3333333","5000","0.8076"
"43","0.01","2500","0","1","0.3333333","5000","0.7928"
"45","0.01","2500","0","1","0.3333333","5000","0.812"
"46","0.01","2500","0","1","0.3333333","5000","0.8076"
"47","0.01","2500","0","1","0.3333333","5000","0.7916"
"49","0.01","2500","0","1","0.3333333","5000","0.7936"
"48","0.01","2500","0","1","0.3333333","5000","0.7884"
"50","0.01","2500","0","1","0.3333333","5000","0.7824"
"51","0.01","2500","0","1","0.4","5000","0.772"
"52","0.01","2500","0","1","0.4","5000","0.7396"
"53","0.01","2500","0","1","0.4","5000","0.7392"
"54","0.01","2500","0","1","0.4","5000","0.7688"
"55","0.01","2500","0","1","0.4","5000","0.756"
"56","0.01","2500","0","1","0.4","5000","0.754"
"58","0.01","2500","0","1","0.4","5000","0.7304"
"57","0.01","2500","0","1","0.4","5000","0.7724"
"59","0.01","2500","0","1","0.4","5000","0.7388"
"60","0.01","2500","0","1","0.4","5000","0.7504"
"61","0.01","2500","0","1","0.4615385","5000","0.6888"
"63","0.01","2500","0","1","0.4615385","5000","0.6852"
"62","0.01","2500","0","1","0.4615385","5000","0.6872"
"64","0.01","2500","0","1","0.4615385","5000","0.69"
"65","0.01","2500","0","1","0.4615385","5000","0.6976"
"66","0.01","2500","0","1","0.4615385","5000","0.7188"
"67","0.01","2500","0","1","0.4615385","5000","0.6576"
"68","0.01","2500","0","1","0.4615385","5000","0.7112"
"69","0.01","2500","0","1","0.4615385","5000","0.6888"
"70","0.01","2500","0","1","0.4615385","5000","0.6984"
"72","0.01","2500","0","1","0.5185185","5000","0.656"
"71","0.01","2500","0","1","0.5185185","5000","0.6644"
"73","0.01","2500","0","1","0.5185185","5000","0.6796"
"74","0.01","2500","0","1","0.5185185","5000","0.6412"
"75","0.01","2500","0","1","0.5185185","5000","0.6532"
"77","0.01","2500","0","1","0.5185185","5000","0.6604"
"76","0.01","2500","0","1","0.5185185","5000","0.6612"
"78","0.01","2500","0","1","0.5185185","5000","0.632"
"79","0.01","2500","0","1","0.5185185","5000","0.668"
"80","0.01","2500","0","1","0.5185185","5000","0.6492"
"82","0.01","2500","0","1","0.5714286","5000","0.5784"
"81","0.01","2500","0","1","0.5714286","5000","0.5896"
"83","0.01","2500","0","1","0.5714286","5000","0.6044"
"84","0.01","2500","0","1","0.5714286","5000","0.5944"
"85","0.01","2500","0","1","0.5714286","5000","0.6056"
"86","0.01","2500","0","1","0.5714286","5000","0.5844"
"87","0.01","2500","0","1","0.5714286","5000","0.5824"
"88","0.01","2500","0","1","0.5714286","5000","0.6092"
"89","0.01","2500","0","1","0.5714286","5000","0.602"
"90","0.01","2500","0","1","0.5714286","5000","0.6124"
"91","0.01","2500","0","1","0.6206897","5000","0.5544"
"92","0.01","2500","0","1","0.6206897","5000","0.5552"
"93","0.01","2500","0","1","0.6206897","5000","0.5404"
"95","0.01","2500","0","1","0.6206897","5000","0.5376"
"94","0.01","2500","0","1","0.6206897","5000","0.5588"
"96","0.01","2500","0","1","0.6206897","5000","0.572"
"97","0.01","2500","0","1","0.6206897","5000","0.5268"
"98","0.01","2500","0","1","0.6206897","5000","0.574"
"100","0.01","2500","0","1","0.6206897","5000","0.5452"
"101","0.01","2500","0","1","0.6666667","5000","0.4952"
"99","0.01","2500","0","1","0.6206897","5000","0.5332"
"103","0.01","2500","0","1","0.6666667","5000","0.4856"
"102","0.01","2500","0","1","0.6666667","5000","0.4992"
"104","0.01","2500","0","1","0.6666667","5000","0.4812"
"105","0.01","2500","0","1","0.6666667","5000","0.4912"
"106","0.01","2500","0","1","0.6666667","5000","0.5028"
"108","0.01","2500","0","1","0.6666667","5000","0.496"
"107","0.01","2500","0","1","0.6666667","5000","0.4968"
"109","0.01","2500","0","1","0.6666667","5000","0.502"
"110","0.01","2500","0","1","0.6666667","5000","0.4996"
"111","0.01","2500","0","1","0.7096774","5000","0.4516"
"112","0.01","2500","0","1","0.7096774","5000","0.4488"
"113","0.01","2500","0","1","0.7096774","5000","0.466"
"114","0.01","2500","0","1","0.7096774","5000","0.4388"
"115","0.01","2500","0","1","0.7096774","5000","0.45"
"116","0.01","2500","0","1","0.7096774","5000","0.4668"
"118","0.01","2500","0","1","0.7096774","5000","0.4616"
"119","0.01","2500","0","1","0.7096774","5000","0.4328"
"120","0.01","2500","0","1","0.7096774","5000","0.456"
"117","0.01","2500","0","1","0.7096774","5000","0.4524"
"121","0.01","2500","0","1","0.75","5000","0.3936"
"122","0.01","2500","0","1","0.75","5000","0.398"
"123","0.01","2500","0","1","0.75","5000","0.3916"
"124","0.01","2500","0","1","0.75","5000","0.4048"
"125","0.01","2500","0","1","0.75","5000","0.3868"
"126","0.01","2500","0","1","0.75","5000","0.4148"
"127","0.01","2500","0","1","0.75","5000","0.4184"
"128","0.01","2500","0","1","0.75","5000","0.4204"
"130","0.01","2500","0","1","0.75","5000","0.4068"
"129","0.01","2500","0","1","0.75","5000","0.3888"
"131","0.01","2500","0","1","0.7878788","5000","0.3504"
"133","0.01","2500","0","1","0.7878788","5000","0.3136"
"134","0.01","2500","0","1","0.7878788","5000","0.3388"
"132","0.01","2500","0","1","0.7878788","5000","0.3332"
"135","0.01","2500","0","1","0.7878788","5000","0.3528"
"136","0.01","2500","0","1","0.7878788","5000","0.3336"
"137","0.01","2500","0","1","0.7878788","5000","0.3256"
"138","0.01","2500","0","1","0.7878788","5000","0.3372"
"139","0.01","2500","0","1","0.7878788","5000","0.3564"
"140","0.01","2500","0","1","0.7878788","5000","0.3516"
"141","0.01","2500","0","1","0.8235294","5000","0.3156"
"143","0.01","2500","0","1","0.8235294","5000","0.2928"
"142","0.01","2500","0","1","0.8235294","5000","0.3"
"144","0.01","2500","0","1","0.8235294","5000","0.3076"
"145","0.01","2500","0","1","0.8235294","5000","0.3044"
"146","0.01","2500","0","1","0.8235294","5000","0.3172"
"147","0.01","2500","0","1","0.8235294","5000","0.2848"
"148","0.01","2500","0","1","0.8235294","5000","0.2936"
"149","0.01","2500","0","1","0.8235294","5000","0.3192"
"150","0.01","2500","0","1","0.8235294","5000","0.2988"
"152","0.01","2500","0","1","0.8571429","5000","0.2512"
"151","0.01","2500","0","1","0.8571429","5000","0.2544"
"153","0.01","2500","0","1","0.8571429","5000","0.2392"
"154","0.01","2500","0","1","0.8571429","5000","0.2308"
"155","0.01","2500","0","1","0.8571429","5000","0.2632"
"157","0.01","2500","0","1","0.8571429","5000","0.256"
"156","0.01","2500","0","1","0.8571429","5000","0.2608"
"158","0.01","2500","0","1","0.8571429","5000","0.2464"
"159","0.01","2500","0","1","0.8571429","5000","0.27"
"160","0.01","2500","0","1","0.8571429","5000","0.2332"
"161","0.01","2500","0","1","0.8888889","5000","0.186"
"162","0.01","2500","0","1","0.8888889","5000","0.2048"
"163","0.01","2500","0","1","0.8888889","5000","0.1984"
"164","0.01","2500","0","1","0.8888889","5000","0.1904"
"166","0.01","2500","0","1","0.8888889","5000","0.2084"
"165","0.01","2500","0","1","0.8888889","5000","0.2032"
"167","0.01","2500","0","1","0.8888889","5000","0.2208"
"168","0.01","2500","0","1","0.8888889","5000","0.1904"
"169","0.01","2500","0","1","0.8888889","5000","0.1996"
"171","0.01","2500","0","1","0.9189189","5000","0.1592"
"170","0.01","2500","0","1","0.8888889","5000","0.2008"
"172","0.01","2500","0","1","0.9189189","5000","0.1552"
"173","0.01","2500","0","1","0.9189189","5000","0.1596"
"174","0.01","2500","0","1","0.9189189","5000","0.1536"
"176","0.01","2500","0","1","0.9189189","5000","0.1468"
"175","0.01","2500","0","1","0.9189189","5000","0.1416"
"177","0.01","2500","0","1","0.9189189","5000","0.1408"
"178","0.01","2500","0","1","0.9189189","5000","0.1488"
"179","0.01","2500","0","1","0.9189189","5000","0.1608"
"180","0.01","2500","0","1","0.9189189","5000","0.1572"
"181","0.01","2500","0","1","0.9473684","5000","0.0992"
"182","0.01","2500","0","1","0.9473684","5000","0.0996"
"183","0.01","2500","0","1","0.9473684","5000","0.0924"
"184","0.01","2500","0","1","0.9473684","5000","0.1076"
"186","0.01","2500","0","1","0.9473684","5000","0.1036"
"185","0.01","2500","0","1","0.9473684","5000","0.0936"
"187","0.01","2500","0","1","0.9473684","5000","0.0996"
"190","0.01","2500","0","1","0.9473684","5000","0.0944"
"189","0.01","2500","0","1","0.9473684","5000","0.1036"
"191","0.01","2500","0","1","0.974359","5000","0.05"
"188","0.01","2500","0","1","0.9473684","5000","0.0888"
"193","0.01","2500","0","1","0.974359","5000","0.0484"
"192","0.01","2500","0","1","0.974359","5000","0.0448"
"194","0.01","2500","0","1","0.974359","5000","0.0528"
"195","0.01","2500","0","1","0.974359","5000","0.0476"
"196","0.01","2500","0","1","0.974359","5000","0.056"
"198","0.01","2500","0","1","0.974359","5000","0.0536"
"201","0.01","2500","0","1","1","16","0"
"202","0.01","2500","0","1","1","17","0"
"203","0.01","2500","0","1","1","18","0"
"204","0.01","2500","0","1","1","16","0"
"205","0.01","2500","0","1","1","18","0"
"206","0.01","2500","0","1","1","17","0"
"207","0.01","2500","0","1","1","17","0"
"208","0.01","2500","0","1","1","17","0"
"209","0.01","2500","0","1","1","20","0"
"210","0.01","2500","0","1","1","22","0"
"197","0.01","2500","0","1","0.974359","5000","0.0488"
"199","0.01","2500","0","1","0.974359","5000","0.0524"
"200","0.01","2500","0","1","0.974359","5000","0.0512"
