"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_HD_spatial.nlogo"
"HD_spatial"
"12/10/2014 13:41:07:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","benefit","initial_propD","baseline_fitness","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"2","1","0.01","0","0","5000","0.9900038446751249"
"1","1","0.01","0","0","5000","0.9903883121876201"
"3","1","0.01","0","0","5000","0.9911572472126106"
"4","1","0.01","0","0","5000","0.9896193771626297"
"5","1","0.01","0","0","5000","0.9900038446751249"
"6","1","0.01","0","0","5000","0.9923106497500961"
"7","1","0.01","0","0","5000","0.9907727797001153"
"9","1","0.01","0","0","5000","0.9915417147251058"
"8","1","0.01","0","0","5000","0.9930795847750865"
"11","1","0.01","0","0.0952381","2697","1"
"10","1","0.01","0","0","5000","0.9911572472126106"
"12","1","0.01","0","0.0952381","2849","1"
"13","1","0.01","0","0.0952381","3459","1"
"15","1","0.01","0","0.0952381","2875","1"
"14","1","0.01","0","0.0952381","2873","1"
"17","1","0.01","0","0.0952381","3099","1"
"16","1","0.01","0","0.0952381","5000","0.9992310649750096"
"19","1","0.01","0","0.0952381","2795","1"
"18","1","0.01","0","0.0952381","3636","1"
"20","1","0.01","0","0.0952381","2896","1"
"22","1","0.01","0","0.1818182","5000","0.9865436370626682"
"21","1","0.01","0","0.1818182","5000","0.9853902345251826"
"23","1","0.01","0","0.1818182","5000","0.9842368319876971"
"24","1","0.01","0","0.1818182","5000","0.9830834294502114"
"25","1","0.01","0","0.1818182","5000","0.9888504421376394"
"26","1","0.01","0","0.1818182","5000","0.9853902345251826"
"27","1","0.01","0","0.1818182","5000","0.9834678969627066"
"28","1","0.01","0","0.1818182","5000","0.9892349096501346"
"29","1","0.01","0","0.1818182","5000","0.988081507112649"
"31","1","0.01","0","0.2608696","5000","0.7727797001153403"
"30","1","0.01","0","0.1818182","5000","0.9896193771626297"
"32","1","0.01","0","0.2608696","5000","0.778162245290273"
"33","1","0.01","0","0.2608696","5000","0.7704728950403691"
"34","1","0.01","0","0.2608696","5000","0.7681660899653979"
"35","1","0.01","0","0.2608696","5000","0.7777777777777778"
"36","1","0.01","0","0.2608696","5000","0.7731641676278355"
"37","1","0.01","0","0.2608696","5000","0.7846981930026913"
"38","1","0.01","0","0.2608696","5000","0.7758554402153018"
"40","1","0.01","0","0.2608696","5000","0.7747020376778162"
"39","1","0.01","0","0.2608696","5000","0.7758554402153018"
"41","1","0.01","0","0.3333333","5000","0.688965782391388"
"42","1","0.01","0","0.3333333","5000","0.6916570549788543"
"43","1","0.01","0","0.3333333","5000","0.7004998077662438"
"44","1","0.01","0","0.3333333","5000","0.707035755478662"
"45","1","0.01","0","0.3333333","5000","0.7035755478662054"
"47","1","0.01","0","0.3333333","5000","0.6978085351787774"
"46","1","0.01","0","0.3333333","5000","0.7031910803537101"
"48","1","0.01","0","0.3333333","5000","0.700884275278739"
"49","1","0.01","0","0.3333333","5000","0.7028066128412149"
"50","1","0.01","0","0.3333333","5000","0.695117262591311"
"51","1","0.01","0","0.4","5000","0.6370626682045367"
"52","1","0.01","0","0.4","5000","0.6478277585544021"
"53","1","0.01","0","0.4","5000","0.6482122260668973"
"54","1","0.01","0","0.4","5000","0.6393694732795079"
"56","1","0.01","0","0.4","5000","0.6366782006920415"
"55","1","0.01","0","0.4","5000","0.6447520184544406"
"57","1","0.01","0","0.4","5000","0.6409073433294886"
"58","1","0.01","0","0.4","5000","0.6451364859669358"
"59","1","0.01","0","0.4","5000","0.6420607458669743"
"60","1","0.01","0","0.4","5000","0.6412918108419838"
"61","1","0.01","0","0.4615385","5000","0.580161476355248"
"62","1","0.01","0","0.4615385","5000","0.570165321030373"
"63","1","0.01","0","0.4615385","5000","0.5728565936178392"
"65","1","0.01","0","0.4615385","5000","0.5824682814302191"
"64","1","0.01","0","0.4615385","5000","0.570165321030373"
"66","1","0.01","0","0.4615385","5000","0.5832372164552095"
"67","1","0.01","0","0.4615385","5000","0.5759323337178008"
"68","1","0.01","0","0.4615385","5000","0.5882352941176471"
"69","1","0.01","0","0.4615385","5000","0.590157631680123"
