"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_PD_nonspatial.nlogo"
"experiment"
"12/10/2014 14:02:31:793 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","initial_propD","baseline_fitness","popsize","cost","benefit","[step]","count players with [ strategy = ""C""] / count players"
"4","0.01","0","2500","0","1","39","1"
"5","0.01","0","2500","0","1","27","1"
"3","0.01","0","2500","0","1","71","1"
"7","0.01","0","2500","0","1","7","1"
"8","0.01","0","2500","0","1","9","1"
"6","0.01","0","2500","0","1","576","1"
"10","0.01","0","2500","0","1","990","1"
"11","0.01","0","2500","0.0952381","1","47","0"
"12","0.01","0","2500","0.0952381","1","40","0"
"13","0.01","0","2500","0.0952381","1","36","0"
"14","0.01","0","2500","0.0952381","1","61","0"
"15","0.01","0","2500","0.0952381","1","47","0"
"16","0.01","0","2500","0.0952381","1","49","0"
"17","0.01","0","2500","0.0952381","1","42","0"
"18","0.01","0","2500","0.0952381","1","54","0"
"1","0.01","0","2500","0","1","1564","1"
"19","0.01","0","2500","0.0952381","1","46","0"
"21","0.01","0","2500","0.1818182","1","23","0"
"20","0.01","0","2500","0.0952381","1","40","0"
"22","0.01","0","2500","0.1818182","1","21","0"
"23","0.01","0","2500","0.1818182","1","28","0"
"24","0.01","0","2500","0.1818182","1","21","0"
"26","0.01","0","2500","0.1818182","1","22","0"
"25","0.01","0","2500","0.1818182","1","22","0"
"27","0.01","0","2500","0.1818182","1","24","0"
"28","0.01","0","2500","0.1818182","1","23","0"
"29","0.01","0","2500","0.1818182","1","23","0"
"2","0.01","0","2500","0","1","2082","1"
"30","0.01","0","2500","0.1818182","1","22","0"
"31","0.01","0","2500","0.2608696","1","15","0"
"32","0.01","0","2500","0.2608696","1","16","0"
"34","0.01","0","2500","0.2608696","1","14","0"
"35","0.01","0","2500","0.2608696","1","16","0"
"33","0.01","0","2500","0.2608696","1","19","0"
"36","0.01","0","2500","0.2608696","1","15","0"
"37","0.01","0","2500","0.2608696","1","16","0"
"38","0.01","0","2500","0.2608696","1","14","0"
"39","0.01","0","2500","0.2608696","1","16","0"
"40","0.01","0","2500","0.2608696","1","15","0"
"42","0.01","0","2500","0.3333333","1","11","0"
"41","0.01","0","2500","0.3333333","1","13","0"
"43","0.01","0","2500","0.3333333","1","13","0"
"44","0.01","0","2500","0.3333333","1","12","0"
"45","0.01","0","2500","0.3333333","1","12","0"
"46","0.01","0","2500","0.3333333","1","11","0"
"47","0.01","0","2500","0.3333333","1","12","0"
"49","0.01","0","2500","0.3333333","1","11","0"
"48","0.01","0","2500","0.3333333","1","12","0"
"50","0.01","0","2500","0.3333333","1","11","0"
"51","0.01","0","2500","0.4","1","10","0"
"52","0.01","0","2500","0.4","1","9","0"
"53","0.01","0","2500","0.4","1","10","0"
"54","0.01","0","2500","0.4","1","9","0"
"55","0.01","0","2500","0.4","1","8","0"
"56","0.01","0","2500","0.4","1","10","0"
"57","0.01","0","2500","0.4","1","9","0"
"59","0.01","0","2500","0.4","1","9","0"
"58","0.01","0","2500","0.4","1","9","0"
"60","0.01","0","2500","0.4","1","10","0"
"61","0.01","0","2500","0.4615385","1","8","0"
"63","0.01","0","2500","0.4615385","1","8","0"
"62","0.01","0","2500","0.4615385","1","8","0"
"64","0.01","0","2500","0.4615385","1","8","0"
"65","0.01","0","2500","0.4615385","1","8","0"
"66","0.01","0","2500","0.4615385","1","8","0"
"67","0.01","0","2500","0.4615385","1","8","0"
"68","0.01","0","2500","0.4615385","1","10","0"
"70","0.01","0","2500","0.4615385","1","8","0"
"69","0.01","0","2500","0.4615385","1","8","0"
"71","0.01","0","2500","0.5185185","1","7","0"
"72","0.01","0","2500","0.5185185","1","6","0"
"73","0.01","0","2500","0.5185185","1","7","0"
"74","0.01","0","2500","0.5185185","1","7","0"
"75","0.01","0","2500","0.5185185","1","7","0"
"76","0.01","0","2500","0.5185185","1","7","0"
"77","0.01","0","2500","0.5185185","1","7","0"
"78","0.01","0","2500","0.5185185","1","7","0"
