"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_PD_spatial.nlogo"
"experiment"
"12/10/2014 16:01:44:147 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","initial_propD","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"2","0","1","0.01","0","5000","0.9888504421376394"
"4","0","1","0.01","0","5000","0.9934640522875817"
"3","0","1","0.01","0","5000","0.9900038446751249"
"1","0","1","0.01","0","5000","0.9900038446751249"
"5","0","1","0.01","0","5000","0.9911572472126106"
"6","0","1","0.01","0","5000","0.9892349096501346"
"7","0","1","0.01","0","5000","0.9873125720876585"
"8","0","1","0.01","0","5000","0.988081507112649"
"9","0","1","0.01","0","5000","0.9900038446751249"
"10","0","1","0.01","0","5000","0.9907727797001153"
"11","0","1","0.01","0.0952381","5000","0.6505190311418685"
"14","0","1","0.01","0.0952381","5000","0.6624375240292195"
"13","0","1","0.01","0.0952381","5000","0.6928104575163399"
"12","0","1","0.01","0.0952381","5000","0.6658977316416763"
"15","0","1","0.01","0.0952381","5000","0.6670511341791618"
"16","0","1","0.01","0.0952381","5000","0.6874279123414071"
"17","0","1","0.01","0.0952381","5000","0.6778162245290273"
"19","0","1","0.01","0.0952381","5000","0.6528258362168397"
"21","0","1","0.01","0.1818182","1147","0"
"22","0","1","0.01","0.1818182","907","0"
"18","0","1","0.01","0.0952381","5000","0.6566705113417917"
"23","0","1","0.01","0.1818182","699","0"
"24","0","1","0.01","0.1818182","1149","0"
"26","0","1","0.01","0.1818182","1153","0"
"25","0","1","0.01","0.1818182","1105","0"
"27","0","1","0.01","0.1818182","833","0"
"28","0","1","0.01","0.1818182","952","0"
"29","0","1","0.01","0.1818182","766","0"
"31","0","1","0.01","0.2608696","298","0"
"30","0","1","0.01","0.1818182","1073","0"
"33","0","1","0.01","0.2608696","473","0"
"32","0","1","0.01","0.2608696","395","0"
"34","0","1","0.01","0.2608696","421","0"
"20","0","1","0.01","0.0952381","5000","0.6320645905420992"
"35","0","1","0.01","0.2608696","395","0"
"36","0","1","0.01","0.2608696","423","0"
"38","0","1","0.01","0.2608696","425","0"
"37","0","1","0.01","0.2608696","563","0"
"39","0","1","0.01","0.2608696","456","0"
"41","0","1","0.01","0.3333333","227","0"
"43","0","1","0.01","0.3333333","208","0"
"42","0","1","0.01","0.3333333","229","0"
"44","0","1","0.01","0.3333333","184","0"
"40","0","1","0.01","0.2608696","516","0"
"45","0","1","0.01","0.3333333","195","0"
"46","0","1","0.01","0.3333333","195","0"
"47","0","1","0.01","0.3333333","208","0"
"50","0","1","0.01","0.3333333","214","0"
"48","0","1","0.01","0.3333333","194","0"
"51","0","1","0.01","0.4","132","0"
"49","0","1","0.01","0.3333333","256","0"
"52","0","1","0.01","0.4","136","0"
"54","0","1","0.01","0.4","137","0"
"55","0","1","0.01","0.4","144","0"
"53","0","1","0.01","0.4","164","0"
"56","0","1","0.01","0.4","154","0"
"57","0","1","0.01","0.4","163","0"
"58","0","1","0.01","0.4","157","0"
"61","0","1","0.01","0.4615385","100","0"
"59","0","1","0.01","0.4","151","0"
"60","0","1","0.01","0.4","160","0"
"62","0","1","0.01","0.4615385","117","0"
"63","0","1","0.01","0.4615385","135","0"
"66","0","1","0.01","0.4615385","91","0"
"65","0","1","0.01","0.4615385","133","0"
"64","0","1","0.01","0.4615385","139","0"
"67","0","1","0.01","0.4615385","113","0"
"68","0","1","0.01","0.4615385","153","0"
"69","0","1","0.01","0.4615385","122","0"
"71","0","1","0.01","0.5185185","95","0"
"70","0","1","0.01","0.4615385","118","0"
"73","0","1","0.01","0.5185185","96","0"
"72","0","1","0.01","0.5185185","105","0"
"74","0","1","0.01","0.5185185","99","0"
"76","0","1","0.01","0.5185185","88","0"
"75","0","1","0.01","0.5185185","105","0"
"77","0","1","0.01","0.5185185","104","0"
"78","0","1","0.01","0.5185185","108","0"
"79","0","1","0.01","0.5185185","129","0"
"81","0","1","0.01","0.5714286","111","0"
"80","0","1","0.01","0.5185185","105","0"
"82","0","1","0.01","0.5714286","98","0"
"83","0","1","0.01","0.5714286","87","0"
"84","0","1","0.01","0.5714286","83","0"
"86","0","1","0.01","0.5714286","91","0"
"85","0","1","0.01","0.5714286","92","0"
"87","0","1","0.01","0.5714286","104","0"
"88","0","1","0.01","0.5714286","100","0"
"89","0","1","0.01","0.5714286","122","0"
"90","0","1","0.01","0.5714286","103","0"
"92","0","1","0.01","0.6206897","77","0"
"91","0","1","0.01","0.6206897","106","0"
"93","0","1","0.01","0.6206897","87","0"
"95","0","1","0.01","0.6206897","85","0"
"94","0","1","0.01","0.6206897","74","0"
"96","0","1","0.01","0.6206897","73","0"
"97","0","1","0.01","0.6206897","90","0"
"100","0","1","0.01","0.6206897","68","0"
"98","0","1","0.01","0.6206897","95","0"
"99","0","1","0.01","0.6206897","77","0"
"101","0","1","0.01","0.6666667","72","0"
"102","0","1","0.01","0.6666667","71","0"
"103","0","1","0.01","0.6666667","67","0"
"105","0","1","0.01","0.6666667","82","0"
"106","0","1","0.01","0.6666667","73","0"
"107","0","1","0.01","0.6666667","71","0"
"104","0","1","0.01","0.6666667","106","0"
"108","0","1","0.01","0.6666667","67","0"
"109","0","1","0.01","0.6666667","72","0"
"110","0","1","0.01","0.6666667","86","0"
"112","0","1","0.01","0.7096774","71","0"
"111","0","1","0.01","0.7096774","82","0"
"113","0","1","0.01","0.7096774","64","0"
"114","0","1","0.01","0.7096774","67","0"
"115","0","1","0.01","0.7096774","77","0"
"117","0","1","0.01","0.7096774","72","0"
"116","0","1","0.01","0.7096774","78","0"
"118","0","1","0.01","0.7096774","80","0"
"119","0","1","0.01","0.7096774","67","0"
"120","0","1","0.01","0.7096774","69","0"
"122","0","1","0.01","0.75","71","0"
"123","0","1","0.01","0.75","67","0"
"121","0","1","0.01","0.75","84","0"
"124","0","1","0.01","0.75","72","0"
"125","0","1","0.01","0.75","54","0"
"126","0","1","0.01","0.75","61","0"
"128","0","1","0.01","0.75","66","0"
"129","0","1","0.01","0.75","64","0"
"127","0","1","0.01","0.75","87","0"
"130","0","1","0.01","0.75","72","0"
"131","0","1","0.01","0.7878788","82","0"
"132","0","1","0.01","0.7878788","87","0"
"134","0","1","0.01","0.7878788","63","0"
"133","0","1","0.01","0.7878788","66","0"
"135","0","1","0.01","0.7878788","74","0"
"136","0","1","0.01","0.7878788","60","0"
"137","0","1","0.01","0.7878788","85","0"
"138","0","1","0.01","0.7878788","63","0"
"139","0","1","0.01","0.7878788","58","0"
"140","0","1","0.01","0.7878788","65","0"
"141","0","1","0.01","0.8235294","59","0"
"143","0","1","0.01","0.8235294","64","0"
"142","0","1","0.01","0.8235294","56","0"
"144","0","1","0.01","0.8235294","60","0"
"145","0","1","0.01","0.8235294","56","0"
"146","0","1","0.01","0.8235294","62","0"
"148","0","1","0.01","0.8235294","60","0"
"149","0","1","0.01","0.8235294","67","0"
"147","0","1","0.01","0.8235294","80","0"
"150","0","1","0.01","0.8235294","62","0"
"151","0","1","0.01","0.8571429","66","0"
"152","0","1","0.01","0.8571429","77","0"
"154","0","1","0.01","0.8571429","65","0"
"153","0","1","0.01","0.8571429","68","0"
"155","0","1","0.01","0.8571429","71","0"
"156","0","1","0.01","0.8571429","61","0"
"157","0","1","0.01","0.8571429","68","0"
"159","0","1","0.01","0.8571429","59","0"
"158","0","1","0.01","0.8571429","54","0"
"160","0","1","0.01","0.8571429","57","0"
"161","0","1","0.01","0.8888889","61","0"
"162","0","1","0.01","0.8888889","66","0"
"164","0","1","0.01","0.8888889","55","0"
"163","0","1","0.01","0.8888889","67","0"
"165","0","1","0.01","0.8888889","69","0"
"166","0","1","0.01","0.8888889","58","0"
"167","0","1","0.01","0.8888889","59","0"
"169","0","1","0.01","0.8888889","52","0"
"168","0","1","0.01","0.8888889","62","0"
"171","0","1","0.01","0.9189189","51","0"
"170","0","1","0.01","0.8888889","67","0"
"172","0","1","0.01","0.9189189","49","0"
"174","0","1","0.01","0.9189189","57","0"
"173","0","1","0.01","0.9189189","58","0"
"175","0","1","0.01","0.9189189","74","0"
"176","0","1","0.01","0.9189189","53","0"
"177","0","1","0.01","0.9189189","70","0"
"179","0","1","0.01","0.9189189","51","0"
"178","0","1","0.01","0.9189189","55","0"
"180","0","1","0.01","0.9189189","52","0"
"181","0","1","0.01","0.9473684","51","0"
"184","0","1","0.01","0.9473684","53","0"
"182","0","1","0.01","0.9473684","69","0"
"183","0","1","0.01","0.9473684","59","0"
"185","0","1","0.01","0.9473684","59","0"
"186","0","1","0.01","0.9473684","47","0"
"187","0","1","0.01","0.9473684","65","0"
"188","0","1","0.01","0.9473684","50","0"
"190","0","1","0.01","0.9473684","59","0"
"189","0","1","0.01","0.9473684","68","0"
"191","0","1","0.01","0.974359","64","0"
"192","0","1","0.01","0.974359","50","0"
"193","0","1","0.01","0.974359","55","0"
"194","0","1","0.01","0.974359","69","0"
"195","0","1","0.01","0.974359","51","0"
"197","0","1","0.01","0.974359","56","0"
"196","0","1","0.01","0.974359","57","0"
"198","0","1","0.01","0.974359","60","0"
"199","0","1","0.01","0.974359","56","0"
"200","0","1","0.01","0.974359","58","0"
"202","0","1","0.01","1","62","0"
"201","0","1","0.01","1","54","0"
"203","0","1","0.01","1","59","0"
"204","0","1","0.01","1","51","0"
"207","0","1","0.01","1","54","0"
"206","0","1","0.01","1","47","0"
"205","0","1","0.01","1","65","0"
"208","0","1","0.01","1","59","0"
"209","0","1","0.01","1","51","0"
"210","0","1","0.01","1","59","0"
