"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:10:34:215 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","Neighborhood_size","benefit","initial_propD","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"3","0","4","1","0.01","0","5000","0.9888504421376394"
"4","0","4","1","0.01","0","5000","0.9907727797001153"
"2","0","4","1","0.01","0","5000","0.9907727797001153"
"1","0","4","1","0.01","0","5000","0.9903883121876201"
"5","0","4","1","0.01","0","5000","0.9907727797001153"
"6","0","4","1","0.01","0","5000","0.9930795847750865"
"7","0","4","1","0.01","0","5000","0.9930795847750865"
"11","0","4","1","0.01","0.0952381","1810","1"
"8","0","4","1","0.01","0","5000","0.9873125720876585"
"12","0","4","1","0.01","0.0952381","1214","1"
"13","0","4","1","0.01","0.0952381","1189","1"
"14","0","4","1","0.01","0.0952381","1246","1"
"9","0","4","1","0.01","0","5000","0.9915417147251058"
"10","0","4","1","0.01","0","5000","0.9934640522875817"
"15","0","4","1","0.01","0.0952381","1222","1"
"16","0","4","1","0.01","0.0952381","1164","1"
"18","0","4","1","0.01","0.0952381","831","1"
"17","0","4","1","0.01","0.0952381","1337","1"
"20","0","4","1","0.01","0.0952381","600","1"
"21","0","4","1","0.01","0.1818182","1279","1"
"19","0","4","1","0.01","0.0952381","1693","1"
"23","0","4","1","0.01","0.1818182","834","1"
"22","0","4","1","0.01","0.1818182","1123","1"
"26","0","4","1","0.01","0.1818182","835","1"
"25","0","4","1","0.01","0.1818182","748","1"
"27","0","4","1","0.01","0.1818182","784","1"
"30","0","4","1","0.01","0.1818182","415","1"
"24","0","4","1","0.01","0.1818182","1525","1"
"29","0","4","1","0.01","0.1818182","1078","1"
"28","0","4","1","0.01","0.1818182","1345","1"
"32","0","4","1","0.01","0.2608696","1737","1"
"34","0","4","1","0.01","0.2608696","1340","1"
"31","0","4","1","0.01","0.2608696","3179","1"
"35","0","4","1","0.01","0.2608696","1687","1"
"33","0","4","1","0.01","0.2608696","2830","1"
"36","0","4","1","0.01","0.2608696","2077","1"
"37","0","4","1","0.01","0.2608696","2462","1"
