"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:36:01:344 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","Neighborhood_size","benefit","initial_propD","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"4","0","12","1","0.01","0","5000","0.9892349096501346"
"2","0","12","1","0.01","0","5000","0.9869281045751634"
"3","0","12","1","0.01","0","5000","0.9923106497500961"
"1","0","12","1","0.01","0","5000","0.9911572472126106"
"5","0","12","1","0.01","0","5000","0.9900038446751249"
"6","0","12","1","0.01","0","5000","0.9900038446751249"
"7","0","12","1","0.01","0","5000","0.9888504421376394"
"8","0","12","1","0.01","0","5000","0.9900038446751249"
"9","0","12","1","0.01","0","5000","0.9900038446751249"
"10","0","12","1","0.01","0","5000","0.9923106497500961"
"11","0","12","1","0.01","0.0952381","5000","0.9969242599000384"
"12","0","12","1","0.01","0.0952381","5000","0.9961553248750481"
"13","0","12","1","0.01","0.0952381","5000","0.9973087274125336"
"14","0","12","1","0.01","0.0952381","5000","0.9969242599000384"
"15","0","12","1","0.01","0.0952381","5000","0.9984621299500193"
"16","0","12","1","0.01","0.0952381","5000","0.9961553248750481"
"17","0","12","1","0.01","0.0952381","5000","0.9976931949250288"
"18","0","12","1","0.01","0.0952381","5000","0.9976931949250288"
"19","0","12","1","0.01","0.0952381","5000","0.998077662437524"
"20","0","12","1","0.01","0.0952381","5000","0.9969242599000384"
"21","0","12","1","0.01","0.1818182","5000","0.839677047289504"
"22","0","12","1","0.01","0.1818182","5000","0.8481353325643983"
"23","0","12","1","0.01","0.1818182","5000","0.8465974625144176"
"24","0","12","1","0.01","0.1818182","5000","0.8427527873894656"
"25","0","12","1","0.01","0.1818182","5000","0.8404459823144944"
"26","0","12","1","0.01","0.1818182","5000","0.8504421376393695"
"27","0","12","1","0.01","0.1818182","5000","0.8412149173394848"
"28","0","12","1","0.01","0.1818182","5000","0.8423683198769704"
"29","0","12","1","0.01","0.1818182","5000","0.8404459823144944"
"30","0","12","1","0.01","0.1818182","5000","0.8408304498269896"
"31","0","12","1","0.01","0.2608696","5000","0.7673971549404075"
"32","0","12","1","0.01","0.2608696","5000","0.7685505574778931"
"33","0","12","1","0.01","0.2608696","5000","0.7689350249903883"
"34","0","12","1","0.01","0.2608696","5000","0.7658592848904268"
"35","0","12","1","0.01","0.2608696","5000","0.7685505574778931"
"36","0","12","1","0.01","0.2608696","5000","0.7697039600153787"
"37","0","12","1","0.01","0.2608696","5000","0.7739331026528259"
"38","0","12","1","0.01","0.2608696","5000","0.7616301422529796"
"39","0","12","1","0.01","0.2608696","5000","0.7693194925028836"
"40","0","12","1","0.01","0.2608696","5000","0.7689350249903883"
"41","0","12","1","0.01","0.3333333","5000","0.708958093041138"
"42","0","12","1","0.01","0.3333333","5000","0.7062668204536716"
"43","0","12","1","0.01","0.3333333","5000","0.7078046905036525"
"44","0","12","1","0.01","0.3333333","5000","0.708958093041138"
"45","0","12","1","0.01","0.3333333","5000","0.7085736255286428"
"46","0","12","1","0.01","0.3333333","5000","0.7162629757785467"
"47","0","12","1","0.01","0.3333333","5000","0.7120338331410996"
"49","0","12","1","0.01","0.3333333","5000","0.7143406382160707"
"50","0","12","1","0.01","0.3333333","5000","0.707035755478662"
"48","0","12","1","0.01","0.3333333","5000","0.7085736255286428"
"51","0","12","1","0.01","0.4","5000","0.6539792387543253"
"52","0","12","1","0.01","0.4","5000","0.6620530565167243"
"53","0","12","1","0.01","0.4","5000","0.657439446366782"
"54","0","12","1","0.01","0.4","5000","0.6535947712418301"
"55","0","12","1","0.01","0.4","5000","0.6620530565167243"
"56","0","12","1","0.01","0.4","5000","0.6624375240292195"
"57","0","12","1","0.01","0.4","5000","0.6501345636293733"
