"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_HD_spatial.nlogo"
"experiment"
"12/10/2014 15:46:16:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","baseline_fitness","Neighborhood_size","cost","benefit","initial_propD","[step]","count patches with [ strategy_current = ""C"" ] / count patches"
"3","0","24","0","1","0.01","5000","0.9932"
"2","0","24","0","1","0.01","5000","0.9888"
"4","0","24","0","1","0.01","5000","0.992"
"1","0","24","0","1","0.01","5000","0.9924"
"5","0","24","0","1","0.01","5000","0.992"
"6","0","24","0","1","0.01","5000","0.9924"
"7","0","24","0","1","0.01","5000","0.9912"
"8","0","24","0","1","0.01","5000","0.9904"
"9","0","24","0","1","0.01","5000","0.9928"
"10","0","24","0","1","0.01","5000","0.9888"
"11","0","24","0.0952381","1","0.01","5000","0.9144"
"12","0","24","0.0952381","1","0.01","5000","0.9164"
"13","0","24","0.0952381","1","0.01","5000","0.9204"
"14","0","24","0.0952381","1","0.01","5000","0.9176"
"15","0","24","0.0952381","1","0.01","5000","0.9156"
"16","0","24","0.0952381","1","0.01","5000","0.9212"
"17","0","24","0.0952381","1","0.01","5000","0.9176"
"18","0","24","0.0952381","1","0.01","5000","0.922"
"19","0","24","0.0952381","1","0.01","5000","0.9096"
"20","0","24","0.0952381","1","0.01","5000","0.9184"
"21","0","24","0.1818182","1","0.01","5000","0.8568"
"22","0","24","0.1818182","1","0.01","5000","0.8552"
"23","0","24","0.1818182","1","0.01","5000","0.848"
"24","0","24","0.1818182","1","0.01","5000","0.8592"
"25","0","24","0.1818182","1","0.01","5000","0.848"
"26","0","24","0.1818182","1","0.01","5000","0.852"
"27","0","24","0.1818182","1","0.01","5000","0.8572"
"28","0","24","0.1818182","1","0.01","5000","0.8528"
"29","0","24","0.1818182","1","0.01","5000","0.8496"
"30","0","24","0.1818182","1","0.01","5000","0.8452"
"31","0","24","0.2608696","1","0.01","5000","0.7892"
"32","0","24","0.2608696","1","0.01","5000","0.7872"
"33","0","24","0.2608696","1","0.01","5000","0.788"
"34","0","24","0.2608696","1","0.01","5000","0.7856"
"35","0","24","0.2608696","1","0.01","5000","0.7892"
"36","0","24","0.2608696","1","0.01","5000","0.7916"
"37","0","24","0.2608696","1","0.01","5000","0.786"
"38","0","24","0.2608696","1","0.01","5000","0.788"
"39","0","24","0.2608696","1","0.01","5000","0.7884"
"40","0","24","0.2608696","1","0.01","5000","0.7916"
"41","0","24","0.3333333","1","0.01","5000","0.736"
"42","0","24","0.3333333","1","0.01","5000","0.7364"
"43","0","24","0.3333333","1","0.01","5000","0.7312"
"44","0","24","0.3333333","1","0.01","5000","0.7368"
"45","0","24","0.3333333","1","0.01","5000","0.7296"
"46","0","24","0.3333333","1","0.01","5000","0.732"
"47","0","24","0.3333333","1","0.01","5000","0.7404"
"49","0","24","0.3333333","1","0.01","5000","0.7384"
"50","0","24","0.3333333","1","0.01","5000","0.7376"
"48","0","24","0.3333333","1","0.01","5000","0.7296"
"51","0","24","0.4","1","0.01","5000","0.6856"
"52","0","24","0.4","1","0.01","5000","0.6864"
"53","0","24","0.4","1","0.01","5000","0.6812"
"54","0","24","0.4","1","0.01","5000","0.6864"
"55","0","24","0.4","1","0.01","5000","0.6868"
"56","0","24","0.4","1","0.01","5000","0.6836"
"57","0","24","0.4","1","0.01","5000","0.6832"
"59","0","24","0.4","1","0.01","5000","0.6796"
"58","0","24","0.4","1","0.01","5000","0.6876"
"60","0","24","0.4","1","0.01","5000","0.6812"
"61","0","24","0.4615385","1","0.01","5000","0.6372"
"62","0","24","0.4615385","1","0.01","5000","0.6324"
"63","0","24","0.4615385","1","0.01","5000","0.626"
"64","0","24","0.4615385","1","0.01","5000","0.6332"
"65","0","24","0.4615385","1","0.01","5000","0.6252"
"66","0","24","0.4615385","1","0.01","5000","0.6288"
"67","0","24","0.4615385","1","0.01","5000","0.6308"
"68","0","24","0.4615385","1","0.01","5000","0.6268"
"69","0","24","0.4615385","1","0.01","5000","0.6248"
"70","0","24","0.4615385","1","0.01","5000","0.6252"
"71","0","24","0.5185185","1","0.01","5000","0.5852"
"72","0","24","0.5185185","1","0.01","5000","0.5788"
"73","0","24","0.5185185","1","0.01","5000","0.5792"
"74","0","24","0.5185185","1","0.01","5000","0.58"
"75","0","24","0.5185185","1","0.01","5000","0.5796"
"76","0","24","0.5185185","1","0.01","5000","0.5736"
"77","0","24","0.5185185","1","0.01","5000","0.5856"
"78","0","24","0.5185185","1","0.01","5000","0.582"
"79","0","24","0.5185185","1","0.01","5000","0.5844"
"80","0","24","0.5185185","1","0.01","5000","0.5864"
"81","0","24","0.5714286","1","0.01","5000","0.5324"
"82","0","24","0.5714286","1","0.01","5000","0.528"
"83","0","24","0.5714286","1","0.01","5000","0.5364"
"84","0","24","0.5714286","1","0.01","5000","0.5308"
"85","0","24","0.5714286","1","0.01","5000","0.5248"
"86","0","24","0.5714286","1","0.01","5000","0.528"
"87","0","24","0.5714286","1","0.01","5000","0.5248"
"88","0","24","0.5714286","1","0.01","5000","0.5284"
"89","0","24","0.5714286","1","0.01","5000","0.5376"
"90","0","24","0.5714286","1","0.01","5000","0.5352"
"91","0","24","0.6206897","1","0.01","5000","0.4772"
"92","0","24","0.6206897","1","0.01","5000","0.4812"
"93","0","24","0.6206897","1","0.01","5000","0.4784"
"94","0","24","0.6206897","1","0.01","5000","0.4804"
"95","0","24","0.6206897","1","0.01","5000","0.4832"
"96","0","24","0.6206897","1","0.01","5000","0.4744"
"97","0","24","0.6206897","1","0.01","5000","0.4828"
"98","0","24","0.6206897","1","0.01","5000","0.4812"
"100","0","24","0.6206897","1","0.01","5000","0.4856"
"99","0","24","0.6206897","1","0.01","5000","0.4744"
"101","0","24","0.6666667","1","0.01","5000","0.4312"
"102","0","24","0.6666667","1","0.01","5000","0.4332"
"103","0","24","0.6666667","1","0.01","5000","0.4312"
"104","0","24","0.6666667","1","0.01","5000","0.4192"
"105","0","24","0.6666667","1","0.01","5000","0.4336"
"106","0","24","0.6666667","1","0.01","5000","0.4228"
"107","0","24","0.6666667","1","0.01","5000","0.4316"
"109","0","24","0.6666667","1","0.01","5000","0.4268"
"108","0","24","0.6666667","1","0.01","5000","0.4272"
"110","0","24","0.6666667","1","0.01","5000","0.4256"
"111","0","24","0.7096774","1","0.01","5000","0.3748"
"112","0","24","0.7096774","1","0.01","5000","0.3748"
"113","0","24","0.7096774","1","0.01","5000","0.384"
"114","0","24","0.7096774","1","0.01","5000","0.3788"
"115","0","24","0.7096774","1","0.01","5000","0.3748"
"116","0","24","0.7096774","1","0.01","5000","0.3832"
"117","0","24","0.7096774","1","0.01","5000","0.3868"
"118","0","24","0.7096774","1","0.01","5000","0.3828"
"119","0","24","0.7096774","1","0.01","5000","0.376"
"120","0","24","0.7096774","1","0.01","5000","0.3756"
"121","0","24","0.75","1","0.01","5000","0.336"
"122","0","24","0.75","1","0.01","5000","0.3384"
"123","0","24","0.75","1","0.01","5000","0.332"
"124","0","24","0.75","1","0.01","5000","0.3288"
