"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_PD_spatial.nlogo"
"experiment"
"12/16/2014 16:31:26:624 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","baseline_fitness","cost","initial_propD","Neighborhood_size","[step]","count patches with [strategy_current = ""C""] / count patches"
"3","1","0","0","0.01","12","5000","0.9892"
"2","1","0","0","0.01","12","5000","0.9888"
"4","1","0","0","0.01","12","5000","0.9864"
"1","1","0","0","0.01","12","5000","0.9876"
"5","1","0","0","0.01","12","5000","0.9928"
"7","1","0","0","0.01","12","5000","0.99"
"6","1","0","0","0.01","12","5000","0.9904"
"8","1","0","0","0.01","12","5000","0.9892"
"9","1","0","0","0.01","12","5000","0.9872"
"10","1","0","0","0.01","12","5000","0.99"
"11","1","0","0.01980198","0.01","12","5000","0.9476"
"12","1","0","0.01980198","0.01","12","5000","0.9336"
"13","1","0","0.01980198","0.01","12","5000","0.9428"
"14","1","0","0.01980198","0.01","12","5000","0.9512"
"15","1","0","0.01980198","0.01","12","5000","0.9528"
"16","1","0","0.01980198","0.01","12","5000","0.9292"
"17","1","0","0.01980198","0.01","12","5000","0.9632"
"18","1","0","0.01980198","0.01","12","5000","0.9604"
"19","1","0","0.01980198","0.01","12","5000","0.9476"
"20","1","0","0.01980198","0.01","12","5000","0.9636"
"21","1","0","0.03921569","0.01","12","5000","0.8784"
"22","1","0","0.03921569","0.01","12","5000","0.9032"
"23","1","0","0.03921569","0.01","12","5000","0.9008"
"24","1","0","0.03921569","0.01","12","5000","0.8848"
"25","1","0","0.03921569","0.01","12","5000","0.9092"
"26","1","0","0.03921569","0.01","12","5000","0.8688"
"27","1","0","0.03921569","0.01","12","5000","0.9124"
"28","1","0","0.03921569","0.01","12","5000","0.896"
"29","1","0","0.03921569","0.01","12","5000","0.8884"
"31","1","0","0.05825243","0.01","12","5000","0.822"
"30","1","0","0.03921569","0.01","12","5000","0.8812"
"32","1","0","0.05825243","0.01","12","5000","0.8176"
"33","1","0","0.05825243","0.01","12","5000","0.8276"
"34","1","0","0.05825243","0.01","12","5000","0.8488"
"35","1","0","0.05825243","0.01","12","5000","0.8092"
"36","1","0","0.05825243","0.01","12","5000","0.8328"
"37","1","0","0.05825243","0.01","12","5000","0.814"
"38","1","0","0.05825243","0.01","12","5000","0.796"
"39","1","0","0.05825243","0.01","12","5000","0.7896"
"40","1","0","0.05825243","0.01","12","5000","0.8144"
"41","1","0","0.07692308","0.01","12","5000","0.7784"
"42","1","0","0.07692308","0.01","12","5000","0.7592"
"43","1","0","0.07692308","0.01","12","5000","0.7756"
"44","1","0","0.07692308","0.01","12","5000","0.7808"
"45","1","0","0.07692308","0.01","12","5000","0.774"
"46","1","0","0.07692308","0.01","12","5000","0.764"
"47","1","0","0.07692308","0.01","12","5000","0.7348"
"49","1","0","0.07692308","0.01","12","5000","0.7804"
"50","1","0","0.07692308","0.01","12","5000","0.7912"
"48","1","0","0.07692308","0.01","12","5000","0.7708"
"51","1","0","0.0952381","0.01","12","5000","0.6596"
"52","1","0","0.0952381","0.01","12","5000","0.6508"
"53","1","0","0.0952381","0.01","12","5000","0.6868"
"55","1","0","0.0952381","0.01","12","5000","0.6448"
"54","1","0","0.0952381","0.01","12","5000","0.6648"
"56","1","0","0.0952381","0.01","12","5000","0.6224"
"57","1","0","0.0952381","0.01","12","5000","0.6652"
"58","1","0","0.0952381","0.01","12","5000","0.6656"
"59","1","0","0.0952381","0.01","12","5000","0.6932"
"60","1","0","0.0952381","0.01","12","5000","0.6848"
"61","1","0","0.11320755","0.01","12","5000","0.5316"
"62","1","0","0.11320755","0.01","12","5000","0.556"
"63","1","0","0.11320755","0.01","12","5000","0.53"
"64","1","0","0.11320755","0.01","12","5000","0.4832"
"65","1","0","0.11320755","0.01","12","5000","0.4804"
"66","1","0","0.11320755","0.01","12","5000","0.5268"
"67","1","0","0.11320755","0.01","12","5000","0.5316"
"68","1","0","0.11320755","0.01","12","5000","0.5536"
"69","1","0","0.11320755","0.01","12","5000","0.4596"
"70","1","0","0.11320755","0.01","12","5000","0.568"
"71","1","0","0.13084112","0.01","12","5000","0.0396"
"72","1","0","0.13084112","0.01","12","5000","0.1968"
"73","1","0","0.13084112","0.01","12","5000","0.11"
"74","1","0","0.13084112","0.01","12","5000","0.034"
"75","1","0","0.13084112","0.01","12","5000","0.1392"
"76","1","0","0.13084112","0.01","12","5000","0.1468"
"77","1","0","0.13084112","0.01","12","5000","0.1528"
"78","1","0","0.13084112","0.01","12","5000","0.1696"
"81","1","0","0.14814815","0.01","12","2637","0"
"79","1","0","0.13084112","0.01","12","5000","0.06"
"82","1","0","0.14814815","0.01","12","2920","0"
"83","1","0","0.14814815","0.01","12","1941","0"
"80","1","0","0.13084112","0.01","12","5000","0.2168"
"85","1","0","0.14814815","0.01","12","1959","0"
"84","1","0","0.14814815","0.01","12","3664","0"
"87","1","0","0.14814815","0.01","12","2734","0"
"86","1","0","0.14814815","0.01","12","3259","0"
"88","1","0","0.14814815","0.01","12","3492","0"
"91","1","0","0.16513761","0.01","12","1697","0"
"90","1","0","0.14814815","0.01","12","3107","0"
"89","1","0","0.14814815","0.01","12","3302","0"
"93","1","0","0.16513761","0.01","12","1313","0"
"92","1","0","0.16513761","0.01","12","1670","0"
"96","1","0","0.16513761","0.01","12","1428","0"
"95","1","0","0.16513761","0.01","12","1515","0"
"94","1","0","0.16513761","0.01","12","2198","0"
"97","1","0","0.16513761","0.01","12","1823","0"
"98","1","0","0.16513761","0.01","12","1271","0"
"101","1","0","0.18181818","0.01","12","807","0"
"99","1","0","0.16513761","0.01","12","1390","0"
"102","1","0","0.18181818","0.01","12","680","0"
"100","1","0","0.16513761","0.01","12","1601","0"
"104","1","0","0.18181818","0.01","12","716","0"
"103","1","0","0.18181818","0.01","12","843","0"
"105","1","0","0.18181818","0.01","12","699","0"
"106","1","0","0.18181818","0.01","12","1015","0"
"108","1","0","0.18181818","0.01","12","884","0"
"107","1","0","0.18181818","0.01","12","972","0"
"109","1","0","0.18181818","0.01","12","763","0"
"111","1","0","0.1981982","0.01","12","610","0"
"113","1","0","0.1981982","0.01","12","580","0"
"110","1","0","0.18181818","0.01","12","902","0"
"112","1","0","0.1981982","0.01","12","699","0"
"114","1","0","0.1981982","0.01","12","529","0"
"115","1","0","0.1981982","0.01","12","592","0"
"116","1","0","0.1981982","0.01","12","643","0"
"118","1","0","0.1981982","0.01","12","708","0"
"117","1","0","0.1981982","0.01","12","924","0"
"119","1","0","0.1981982","0.01","12","637","0"
"120","1","0","0.1981982","0.01","12","595","0"
"121","1","0","0.21428571","0.01","12","379","0"
"122","1","0","0.21428571","0.01","12","461","0"
"123","1","0","0.21428571","0.01","12","597","0"
"124","1","0","0.21428571","0.01","12","572","0"
"125","1","0","0.21428571","0.01","12","549","0"
"126","1","0","0.21428571","0.01","12","556","0"
"128","1","0","0.21428571","0.01","12","482","0"
"127","1","0","0.21428571","0.01","12","546","0"
"129","1","0","0.21428571","0.01","12","624","0"
"130","1","0","0.21428571","0.01","12","506","0"
"131","1","0","0.2300885","0.01","12","430","0"
"132","1","0","0.2300885","0.01","12","444","0"
"133","1","0","0.2300885","0.01","12","381","0"
"134","1","0","0.2300885","0.01","12","271","0"
"136","1","0","0.2300885","0.01","12","369","0"
"135","1","0","0.2300885","0.01","12","632","0"
"137","1","0","0.2300885","0.01","12","469","0"
"139","1","0","0.2300885","0.01","12","414","0"
"138","1","0","0.2300885","0.01","12","650","0"
"141","1","0","0.24561404","0.01","12","347","0"
"140","1","0","0.2300885","0.01","12","441","0"
"142","1","0","0.24561404","0.01","12","512","0"
"143","1","0","0.24561404","0.01","12","385","0"
"144","1","0","0.24561404","0.01","12","391","0"
"145","1","0","0.24561404","0.01","12","412","0"
"146","1","0","0.24561404","0.01","12","399","0"
"147","1","0","0.24561404","0.01","12","483","0"
"149","1","0","0.24561404","0.01","12","394","0"
"148","1","0","0.24561404","0.01","12","447","0"
"150","1","0","0.24561404","0.01","12","359","0"
"152","1","0","0.26086957","0.01","12","324","0"
"153","1","0","0.26086957","0.01","12","336","0"
"151","1","0","0.26086957","0.01","12","341","0"
"154","1","0","0.26086957","0.01","12","242","0"
"155","1","0","0.26086957","0.01","12","312","0"
"156","1","0","0.26086957","0.01","12","407","0"
"157","1","0","0.26086957","0.01","12","423","0"
"158","1","0","0.26086957","0.01","12","396","0"
"159","1","0","0.26086957","0.01","12","286","0"
"160","1","0","0.26086957","0.01","12","413","0"
