"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_PD_spatial.nlogo"
"experiment"
"12/10/2014 14:23:28:970 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","cost","Neighborhood_size","benefit","initial_propD","[step]","count patches with [strategy_current = ""C""] / count patches"
"2","0","0","4","1","0.01","5000","0.7577854671280276"
"3","0","0","4","1","0.01","5000","0.7285659361783929"
"4","0","0","4","1","0.01","5000","0.7216455209534794"
"1","0","0","4","1","0.01","5000","0.752402921953095"
"5","0","0","4","1","0.01","5000","0.7239523260284506"
"6","0","0","4","1","0.01","5000","0.7277970011534025"
"7","0","0","4","1","0.01","5000","0.7470203767781622"
"8","0","0","4","1","0.01","5000","0.746635909265667"
"11","0","0.0952381","4","1","0.01","1981","0"
"12","0","0.0952381","4","1","0.01","1775","0"
"10","0","0","4","1","0.01","5000","0.7312572087658593"
"13","0","0.0952381","4","1","0.01","2154","0"
"9","0","0","4","1","0.01","5000","0.7577854671280276"
"16","0","0.0952381","4","1","0.01","1586","0"
"14","0","0.0952381","4","1","0.01","2011","0"
"17","0","0.0952381","4","1","0.01","2128","0"
"15","0","0.0952381","4","1","0.01","2428","0"
"21","0","0.1818182","4","1","0.01","798","0"
"22","0","0.1818182","4","1","0.01","718","0"
"19","0","0.0952381","4","1","0.01","1908","0"
"20","0","0.0952381","4","1","0.01","2055","0"
"23","0","0.1818182","4","1","0.01","821","0"
"18","0","0.0952381","4","1","0.01","3170","0"
"24","0","0.1818182","4","1","0.01","846","0"
"25","0","0.1818182","4","1","0.01","907","0"
"26","0","0.1818182","4","1","0.01","751","0"
"27","0","0.1818182","4","1","0.01","832","0"
"30","0","0.1818182","4","1","0.01","897","0"
"28","0","0.1818182","4","1","0.01","828","0"
"29","0","0.1818182","4","1","0.01","859","0"
"32","0","0.2608696","4","1","0.01","641","0"
"31","0","0.2608696","4","1","0.01","726","0"
"34","0","0.2608696","4","1","0.01","618","0"
"33","0","0.2608696","4","1","0.01","601","0"
"35","0","0.2608696","4","1","0.01","754","0"
"38","0","0.2608696","4","1","0.01","672","0"
"37","0","0.2608696","4","1","0.01","758","0"
"36","0","0.2608696","4","1","0.01","732","0"
"41","0","0.3333333","4","1","0.01","218","0"
"42","0","0.3333333","4","1","0.01","270","0"
"43","0","0.3333333","4","1","0.01","255","0"
"39","0","0.2608696","4","1","0.01","722","0"
"44","0","0.3333333","4","1","0.01","287","0"
"46","0","0.3333333","4","1","0.01","249","0"
"45","0","0.3333333","4","1","0.01","290","0"
"40","0","0.2608696","4","1","0.01","664","0"
"47","0","0.3333333","4","1","0.01","274","0"
"48","0","0.3333333","4","1","0.01","265","0"
"49","0","0.3333333","4","1","0.01","255","0"
"50","0","0.3333333","4","1","0.01","285","0"
"51","0","0.4","4","1","0.01","267","0"
"52","0","0.4","4","1","0.01","178","0"
"53","0","0.4","4","1","0.01","187","0"
"54","0","0.4","4","1","0.01","203","0"
"55","0","0.4","4","1","0.01","193","0"
"56","0","0.4","4","1","0.01","195","0"
"57","0","0.4","4","1","0.01","277","0"
"59","0","0.4","4","1","0.01","208","0"
"58","0","0.4","4","1","0.01","210","0"
"60","0","0.4","4","1","0.01","207","0"
"61","0","0.4615385","4","1","0.01","218","0"
"62","0","0.4615385","4","1","0.01","173","0"
"64","0","0.4615385","4","1","0.01","210","0"
"63","0","0.4615385","4","1","0.01","183","0"
"65","0","0.4615385","4","1","0.01","206","0"
"66","0","0.4615385","4","1","0.01","180","0"
"67","0","0.4615385","4","1","0.01","193","0"
"68","0","0.4615385","4","1","0.01","169","0"
"69","0","0.4615385","4","1","0.01","120","0"
"70","0","0.4615385","4","1","0.01","145","0"
"71","0","0.5185185","4","1","0.01","137","0"
"73","0","0.5185185","4","1","0.01","132","0"
"72","0","0.5185185","4","1","0.01","129","0"
"74","0","0.5185185","4","1","0.01","148","0"
"75","0","0.5185185","4","1","0.01","139","0"
"76","0","0.5185185","4","1","0.01","150","0"
"77","0","0.5185185","4","1","0.01","169","0"
"78","0","0.5185185","4","1","0.01","150","0"
"79","0","0.5185185","4","1","0.01","137","0"
"80","0","0.5185185","4","1","0.01","151","0"
"82","0","0.5714286","4","1","0.01","114","0"
"81","0","0.5714286","4","1","0.01","142","0"
"83","0","0.5714286","4","1","0.01","125","0"
"84","0","0.5714286","4","1","0.01","92","0"
"85","0","0.5714286","4","1","0.01","125","0"
"87","0","0.5714286","4","1","0.01","113","0"
"88","0","0.5714286","4","1","0.01","142","0"
"86","0","0.5714286","4","1","0.01","139","0"
"90","0","0.5714286","4","1","0.01","125","0"
"91","0","0.6206897","4","1","0.01","105","0"
"92","0","0.6206897","4","1","0.01","96","0"
"89","0","0.5714286","4","1","0.01","202","0"
"93","0","0.6206897","4","1","0.01","99","0"
"94","0","0.6206897","4","1","0.01","108","0"
"95","0","0.6206897","4","1","0.01","102","0"
"96","0","0.6206897","4","1","0.01","110","0"
"97","0","0.6206897","4","1","0.01","105","0"
"98","0","0.6206897","4","1","0.01","101","0"
"100","0","0.6206897","4","1","0.01","109","0"
"101","0","0.6666667","4","1","0.01","80","0"
"99","0","0.6206897","4","1","0.01","158","0"
"102","0","0.6666667","4","1","0.01","119","0"
"103","0","0.6666667","4","1","0.01","89","0"
"104","0","0.6666667","4","1","0.01","109","0"
"106","0","0.6666667","4","1","0.01","103","0"
"107","0","0.6666667","4","1","0.01","90","0"
"105","0","0.6666667","4","1","0.01","96","0"
"108","0","0.6666667","4","1","0.01","103","0"
"109","0","0.6666667","4","1","0.01","95","0"
"110","0","0.6666667","4","1","0.01","96","0"
"111","0","0.7096774","4","1","0.01","93","0"
"112","0","0.7096774","4","1","0.01","91","0"
"113","0","0.7096774","4","1","0.01","77","0"
"114","0","0.7096774","4","1","0.01","94","0"
"116","0","0.7096774","4","1","0.01","75","0"
"115","0","0.7096774","4","1","0.01","86","0"
"117","0","0.7096774","4","1","0.01","77","0"
"118","0","0.7096774","4","1","0.01","91","0"
"119","0","0.7096774","4","1","0.01","89","0"
"121","0","0.75","4","1","0.01","81","0"
"120","0","0.7096774","4","1","0.01","99","0"
"122","0","0.75","4","1","0.01","75","0"
"123","0","0.75","4","1","0.01","90","0"
"124","0","0.75","4","1","0.01","83","0"
"125","0","0.75","4","1","0.01","82","0"
"126","0","0.75","4","1","0.01","72","0"
"127","0","0.75","4","1","0.01","98","0"
"128","0","0.75","4","1","0.01","89","0"
"130","0","0.75","4","1","0.01","80","0"
"129","0","0.75","4","1","0.01","85","0"
"132","0","0.7878788","4","1","0.01","74","0"
"131","0","0.7878788","4","1","0.01","101","0"
"133","0","0.7878788","4","1","0.01","95","0"
"135","0","0.7878788","4","1","0.01","65","0"
"134","0","0.7878788","4","1","0.01","94","0"
"136","0","0.7878788","4","1","0.01","91","0"
"137","0","0.7878788","4","1","0.01","86","0"
"138","0","0.7878788","4","1","0.01","83","0"
"139","0","0.7878788","4","1","0.01","82","0"
"141","0","0.8235294","4","1","0.01","70","0"
"140","0","0.7878788","4","1","0.01","110","0"
"142","0","0.8235294","4","1","0.01","103","0"
"143","0","0.8235294","4","1","0.01","78","0"
"144","0","0.8235294","4","1","0.01","86","0"
"145","0","0.8235294","4","1","0.01","76","0"
"146","0","0.8235294","4","1","0.01","88","0"
"147","0","0.8235294","4","1","0.01","72","0"
"148","0","0.8235294","4","1","0.01","74","0"
"149","0","0.8235294","4","1","0.01","80","0"
"150","0","0.8235294","4","1","0.01","83","0"
"151","0","0.8571429","4","1","0.01","73","0"
"152","0","0.8571429","4","1","0.01","65","0"
"153","0","0.8571429","4","1","0.01","75","0"
"156","0","0.8571429","4","1","0.01","61","0"
"154","0","0.8571429","4","1","0.01","90","0"
"155","0","0.8571429","4","1","0.01","79","0"
"157","0","0.8571429","4","1","0.01","86","0"
"158","0","0.8571429","4","1","0.01","92","0"
"159","0","0.8571429","4","1","0.01","89","0"
"161","0","0.8888889","4","1","0.01","74","0"
"160","0","0.8571429","4","1","0.01","75","0"
"163","0","0.8888889","4","1","0.01","71","0"
"162","0","0.8888889","4","1","0.01","91","0"
"164","0","0.8888889","4","1","0.01","89","0"
"165","0","0.8888889","4","1","0.01","84","0"
"166","0","0.8888889","4","1","0.01","77","0"
"167","0","0.8888889","4","1","0.01","81","0"
"168","0","0.8888889","4","1","0.01","73","0"
"169","0","0.8888889","4","1","0.01","72","0"
"170","0","0.8888889","4","1","0.01","87","0"
"171","0","0.9189189","4","1","0.01","74","0"
"172","0","0.9189189","4","1","0.01","87","0"
"173","0","0.9189189","4","1","0.01","70","0"
"174","0","0.9189189","4","1","0.01","70","0"
"175","0","0.9189189","4","1","0.01","67","0"
"176","0","0.9189189","4","1","0.01","78","0"
"177","0","0.9189189","4","1","0.01","72","0"
"178","0","0.9189189","4","1","0.01","77","0"
"179","0","0.9189189","4","1","0.01","67","0"
"180","0","0.9189189","4","1","0.01","79","0"
"181","0","0.9473684","4","1","0.01","61","0"
"182","0","0.9473684","4","1","0.01","70","0"
"183","0","0.9473684","4","1","0.01","71","0"
"184","0","0.9473684","4","1","0.01","70","0"
"186","0","0.9473684","4","1","0.01","63","0"
"185","0","0.9473684","4","1","0.01","75","0"
"187","0","0.9473684","4","1","0.01","98","0"
"188","0","0.9473684","4","1","0.01","73","0"
"189","0","0.9473684","4","1","0.01","73","0"
"193","0","0.974359","4","1","0.01","57","0"
"190","0","0.9473684","4","1","0.01","92","0"
"192","0","0.974359","4","1","0.01","81","0"
"191","0","0.974359","4","1","0.01","96","0"
"194","0","0.974359","4","1","0.01","72","0"
"197","0","0.974359","4","1","0.01","72","0"
"195","0","0.974359","4","1","0.01","81","0"
"196","0","0.974359","4","1","0.01","88","0"
"198","0","0.974359","4","1","0.01","73","0"
"199","0","0.974359","4","1","0.01","68","0"
"200","0","0.974359","4","1","0.01","66","0"
"201","0","1","4","1","0.01","83","0"
"202","0","1","4","1","0.01","78","0"
"203","0","1","4","1","0.01","64","0"
"205","0","1","4","1","0.01","65","0"
"204","0","1","4","1","0.01","89","0"
"206","0","1","4","1","0.01","62","0"
"207","0","1","4","1","0.01","70","0"
"208","0","1","4","1","0.01","72","0"
"210","0","1","4","1","0.01","59","0"
"209","0","1","4","1","0.01","82","0"
