"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_PD_spatial.nlogo"
"experiment"
"12/17/2014 11:52:06:299 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","baseline_fitness","Neighborhood_size","initial_propD","cost","benefit","[step]","count turtles"
"2","0","4","0.01","0.05825243","1","5000","0"
"1","0","4","0.01","0.05825243","1","5000","0"
"3","0","4","0.01","0.05825243","1","5000","0"
"4","0","4","0.01","0.05825243","1","5000","0"
"5","0","4","0.01","0.05825243","1","5000","0"
"6","0","4","0.01","0.05825243","1","5000","0"
"7","0","4","0.01","0.05825243","1","5000","0"
"8","0","4","0.01","0.05825243","1","5000","0"
"9","0","4","0.01","0.05825243","1","5000","0"
"10","0","4","0.01","0.05825243","1","5000","0"
"11","0","8","0.01","0.05825243","1","5000","0"
"12","0","8","0.01","0.05825243","1","5000","0"
"13","0","8","0.01","0.05825243","1","5000","0"
"14","0","8","0.01","0.05825243","1","5000","0"
"15","0","8","0.01","0.05825243","1","5000","0"
"16","0","8","0.01","0.05825243","1","5000","0"
"17","0","8","0.01","0.05825243","1","5000","0"
"18","0","8","0.01","0.05825243","1","5000","0"
"19","0","8","0.01","0.05825243","1","5000","0"
"20","0","8","0.01","0.05825243","1","5000","0"
"21","0","12","0.01","0.05825243","1","5000","0"
"23","0","12","0.01","0.05825243","1","5000","0"
"22","0","12","0.01","0.05825243","1","5000","0"
"24","0","12","0.01","0.05825243","1","5000","0"
"25","0","12","0.01","0.05825243","1","5000","0"
"26","0","12","0.01","0.05825243","1","5000","0"
"27","0","12","0.01","0.05825243","1","5000","0"
"28","0","12","0.01","0.05825243","1","5000","0"
"29","0","12","0.01","0.05825243","1","5000","0"
"30","0","12","0.01","0.05825243","1","5000","0"
"31","0","24","0.01","0.05825243","1","5000","0"
"32","0","24","0.01","0.05825243","1","5000","0"
"33","0","24","0.01","0.05825243","1","5000","0"
"34","0","24","0.01","0.05825243","1","5000","0"
