"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_PD_spatial.nlogo"
"experiment"
"12/17/2014 15:43:32:557 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","baseline_fitness","Neighborhood_size","initial_propD","cost","benefit","[step]","count patches with [strategy_current = ""C""] / count patches"
"1","0","4","0.01","0.1220657","1","908","0"
"2","0","4","0.01","0.1220657","1","1130","0"
"4","0","4","0.01","0.1220657","1","1270","0"
"3","0","4","0.01","0.1220657","1","1369","0"
"5","0","4","0.01","0.1220657","1","1149","0"
"6","0","4","0.01","0.1220657","1","1060","0"
"7","0","4","0.01","0.1220657","1","1105","0"
"8","0","4","0.01","0.1220657","1","1210","0"
"9","0","4","0.01","0.1220657","1","1210","0"
"10","0","4","0.01","0.1220657","1","851","0"
"11","0","8","0.01","0.1220657","1","5000","0.6012"
"12","0","8","0.01","0.1220657","1","5000","0.574"
"13","0","8","0.01","0.1220657","1","5000","0.5492"
"14","0","8","0.01","0.1220657","1","5000","0.5908"
"15","0","8","0.01","0.1220657","1","5000","0.5852"
"16","0","8","0.01","0.1220657","1","5000","0.5708"
"17","0","8","0.01","0.1220657","1","5000","0.576"
"18","0","8","0.01","0.1220657","1","5000","0.5784"
"19","0","8","0.01","0.1220657","1","5000","0.5752"
"20","0","8","0.01","0.1220657","1","5000","0.5468"
"21","0","12","0.01","0.1220657","1","5000","0.424"
"22","0","12","0.01","0.1220657","1","5000","0.3676"
"23","0","12","0.01","0.1220657","1","5000","0.3704"
"24","0","12","0.01","0.1220657","1","5000","0.4396"
"25","0","12","0.01","0.1220657","1","5000","0.4036"
"26","0","12","0.01","0.1220657","1","5000","0.3704"
"27","0","12","0.01","0.1220657","1","5000","0.3732"
"28","0","12","0.01","0.1220657","1","5000","0.412"
"29","0","12","0.01","0.1220657","1","5000","0.4476"
"30","0","12","0.01","0.1220657","1","5000","0.43"
"31","0","24","0.01","0.1220657","1","5000","0.1124"
"32","0","24","0.01","0.1220657","1","5000","0.114"
"33","0","24","0.01","0.1220657","1","5000","0.0292"
"34","0","24","0.01","0.1220657","1","5000","0.2068"
"35","0","24","0.01","0.1220657","1","5000","0.2956"
"36","0","24","0.01","0.1220657","1","5000","0.2976"
"37","0","24","0.01","0.1220657","1","5000","0.2616"
"38","0","24","0.01","0.1220657","1","5000","0.4192"
"39","0","24","0.01","0.1220657","1","5000","0.186"
"40","0","24","0.01","0.1220657","1","5000","0.1268"
