"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_PD_spatial.nlogo"
"experiment"
"12/18/2014 13:49:48:283 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_propD","Neighborhood_size","benefit","cost","baseline_fitness","[step]","count patches with [strategy_current = ""C""] / count patches"
"3","0.01","4","1","0.1220657","0","1020","0"
"2","0.01","4","1","0.1220657","0","1062","0"
"4","0.01","4","1","0.1220657","0","1236","0"
"1","0.01","4","1","0.1220657","0","889","0"
"5","0.01","4","1","0.1220657","0","1150","0"
"6","0.01","4","1","0.1220657","0","1279","0"
"7","0.01","4","1","0.1220657","0","1189","0"
"8","0.01","4","1","0.1220657","0","1245","0"
"9","0.01","4","1","0.1220657","0","951","0"
"10","0.01","4","1","0.1220657","0","1024","0"
"11","0.01","8","1","0.1220657","0","10000","0.5609381007304882"
"13","0.01","8","1","0.1220657","0","10000","0.5774702037677816"
"14","0.01","8","1","0.1220657","0","10000","0.552479815455594"
"12","0.01","8","1","0.1220657","0","10000","0.5609381007304882"
"15","0.01","8","1","0.1220657","0","10000","0.5290272971933871"
"16","0.01","8","1","0.1220657","0","10000","0.544405997693195"
"17","0.01","8","1","0.1220657","0","10000","0.5709342560553633"
"18","0.01","8","1","0.1220657","0","10000","0.5551710880430604"
"19","0.01","8","1","0.1220657","0","10000","0.570165321030373"
"20","0.01","8","1","0.1220657","0","10000","0.5528642829680892"
"21","0.01","12","1","0.1220657","0","10000","0.3479430988081507"
"22","0.01","12","1","0.1220657","0","10000","0.30411380238369856"
"23","0.01","12","1","0.1220657","0","10000","0.40561322568242986"
"24","0.01","12","1","0.1220657","0","10000","0.42675893886966554"
"25","0.01","12","1","0.1220657","0","10000","0.38100730488273743"
"26","0.01","12","1","0.1220657","0","10000","0.3971549404075356"
"27","0.01","12","1","0.1220657","0","10000","0.42522106881968474"
"28","0.01","12","1","0.1220657","0","10000","0.33141099577085736"
"29","0.01","12","1","0.1220657","0","10000","0.2991157247212611"
"30","0.01","12","1","0.1220657","0","10000","0.4540561322568243"
"33","0.01","24","1","0.1220657","0","6196","0"
"31","0.01","24","1","0.1220657","0","7430","0"
"32","0.01","24","1","0.1220657","0","10000","3.8446751249519417E-4"
"34","0.01","24","1","0.1220657","0","10000","0.03613994617454825"
"37","0.01","24","1","0.1220657","0","5988","0"
"35","0.01","24","1","0.1220657","0","9073","0"
"36","0.01","24","1","0.1220657","0","10000","0.13264129181084197"
"39","0.01","24","1","0.1220657","0","7796","0"
"38","0.01","24","1","0.1220657","0","10000","0.10226835832372165"
"40","0.01","24","1","0.1220657","0","8528","0"
