"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"2","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9962744630738707"
"3","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9907804335269366"
"4","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9889140038434112"
"1","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9930309151292104"
"5","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9872585431713018"
"7","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9931035073969259"
"6","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9929386262689179"
"8","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9957136614228309"
"9","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9957611348111748"
"10","0","1","0.01","0.02","0.01","12","0","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9853711745823057"
"11","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9467969710290066"
"12","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9582413181438376"
"13","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9473842203465235"
"14","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9422961406744109"
"15","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9410618509847299"
"16","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9479198173335254"
"17","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9429727202553329"
"18","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9445948776922372"
"19","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.945495293148715"
"20","0","1","0.01","0.02","0.01","12","0.0952381","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.9468268647875678"
"21","0","1","0.01","0.02","0.01","12","0.1818182","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8797717436955284"
"22","0","1","0.01","0.02","0.01","12","0.1818182","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8915440386358072"
