"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 14:01:25:153 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","mutation_size","Neighborhood_size","baseline_fitness","payoff_assessment","mutation_probability","Mode","Game_Type","initial_propD","initial_heterogeneity","benefit","[step]","mean [strat_P_cur] of patches"
"4","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9979466213874127"
"2","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9931584023474557"
"3","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9969517362383185"
"1","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.995843703200083"
"6","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9975820086509416"
"5","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9864549229531965"
"7","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.992786441833589"
"8","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.996595564749157"
"9","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9951614779793984"
"10","0","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9963683343118198"
"11","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9554949251385503"
"12","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9302667651993024"
"13","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.952910977635116"
"14","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9475729797733664"
"15","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9621817927014039"
"16","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9465465473402526"
"17","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9601965787001152"
"18","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9511642857681921"
"19","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9545607311323053"
"20","0.0952381","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9397897051295964"
"21","0.1818182","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.896895650586872"
"22","0.1818182","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.9021125525004622"
