"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
""
"12/16/2014 12:17:20:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","Neighborhood_size","initial_propD","mutation_size","cost","Mode","Game_Type","payoff_assessment","benefit","baseline_fitness","mutation_probability","[step]","mean [strat_P_cur] of patches"
"3","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9979383686405725"
"4","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9973062932646501"
"2","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.991700940985436"
"1","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9880956749888395"
"7","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9979479075532093"
"5","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.994622303035024"
"6","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9932306734915926"
"8","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9961405065355493"
"9","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9973511388730036"
"10","0.02","4","0.01","0.0020","0","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9982977556616982"
"11","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9391987156607757"
"13","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9392944004018412"
"12","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9399921593489584"
"15","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9491746051780956"
"14","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9457888806314407"
"16","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9400158224777625"
"17","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9460836505015837"
"18","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9498744407675691"
"19","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.938265670436501"
"20","0.02","4","0.01","0.0020","0.0952381","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.9332376181623154"
"22","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8880396819728793"
"23","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8877543340666236"
"21","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8725230813590157"
"24","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8771264954357366"
"25","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8843661288789224"
"26","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8727792631297633"
"27","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8797623134448632"
"28","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8775697346256457"
"29","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8831986441032511"
"30","0.02","4","0.01","0.0020","0.1818182","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.890835785437093"
"32","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8279297738874493"
"31","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8368865884549349"
"33","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8236266857474593"
"34","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8370559707834144"
"35","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8326729380178939"
"36","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8139701509262423"
"37","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8246804564118504"
"38","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8342394603466929"
"39","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8405923442883216"
"41","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7699739658592893"
"42","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7750878001785142"
"40","0.02","4","0.01","0.0020","0.2608696","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.8165723590830366"
"43","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.75880758259724"
"44","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7674494838439763"
"45","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.776265106993396"
"46","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7821206122816767"
"47","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7540833772224578"
"48","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7685801989064234"
"49","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7753520492454308"
"51","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7083666312279975"
"50","0.02","4","0.01","0.0020","0.3333333","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7620551476984504"
"52","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7081278734949631"
"53","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7172597338124906"
"54","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7211529533938131"
"55","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7080500010453646"
"56","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7164721578199702"
"57","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.6895649594690026"
"58","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.714490064701463"
"60","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7319665665917789"
"61","0.02","4","0.01","0.0020","0.4615385","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.6641786609394678"
"59","0.02","4","0.01","0.0020","0.4","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.7214053508184096"
