"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:47:23:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","baseline_fitness","benefit","strategy","mutation_rate","initial_propD","initial_heterogeneity","[step]","count patches with [ strategy_current = ""C"" ] / count patches","mean [probD ] of patches"
"3","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9584775086505191","0.040389637057809666"
"2","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9611687812379854","0.039554886716308205"
"1","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.960399846212995","0.04051611438770346"
"4","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9611687812379854","0.03972898265909225"
"5","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9607843137254902","0.04081352608168528"
"6","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9657823913879278","0.04073363110023557"
"8","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9596309111880046","0.0403262280601589"
"7","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9588619761630143","0.03970530627939032"
"9","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9557862360630527","0.03962966052048436"
"11","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9419454056132257","0.06047240550520936"
"10","0","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9650134563629373","0.04143180371330118"
"12","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9438677431757017","0.06335197742959588"
"13","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9373317954632834","0.062253325978354986"
"14","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9342560553633218","0.06231113049168691"
"15","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9265667051134179","0.06284476702026583"
"16","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9296424452133795","0.06321893916791704"
"17","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9407920030757401","0.06178254937188304"
"18","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9300269127258747","0.060853671711791006"
"19","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9357939254133025","0.06270904182802517"
"20","0.0952381","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.9400230680507498","0.0613375226724795"
"21","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8961937716262975","0.10547624194011229"
"22","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8946559015763168","0.10886733604598747"
"23","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8938869665513264","0.10746162460771289"
"24","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8900422914263745","0.10731693245934187"
"25","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8954248366013072","0.10779005045042893"
"26","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8838908112264514","0.1069848930945119"
"27","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.895040369088812","0.10833456554045111"
"29","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8800461361014994","0.1109903147152067"
"28","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8827374086889658","0.11196856148293208"
"30","0.1818182","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8835063437139562","0.1095598385391626"
"32","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8373702422145328","0.16435772678765784"
"31","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8408304498269896","0.15427230394883515"
"33","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8354479046520569","0.1622726870111936"
"35","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8423683198769704","0.15867333143645507"
"34","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8427527873894656","0.15602971348343544"
"36","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8369857747020377","0.15850309742953228"
"37","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8431372549019608","0.15726080114348717"
"38","0.2608696","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.8400615148019992","0.1586679568048673"
