"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 13:38:11:059 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","strategy","baseline_fitness","mutation_probability","mutation_size","benefit","initial_heterogeneity","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"3","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9905610519947965"
"4","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9931366723620766"
"2","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9879884249072749"
"1","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9919936650928542"
"5","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9922142488565739"
"6","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9893213520923376"
"7","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.989152487324295"
"8","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9927913609869033"
"9","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9942636249583469"
"11","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.960078005734316"
"10","0","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9910117243565233"
"13","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9317595422313182"
"14","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.954325841327391"
"15","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9551515047554456"
"12","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9415842021648655"
"16","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9457201141909627"
"17","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9373019952304812"
"18","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.946895442668811"
"19","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9385313817694304"
"20","0.0952381","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9428367129874958"
"21","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.9016172354104455"
"22","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.901200915361436"
"23","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8879696811149723"
"24","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8926758719948947"
"25","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8907162453088271"
"26","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8997206820351679"
"28","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8907376600736757"
"29","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.896820292045419"
"30","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8891173611168138"
"27","0.1818182","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.895840911162151"
"31","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8386372988609725"
"32","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8366340204550443"
"33","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8428044413558305"
"34","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8421770501523324"
"35","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8291493690745051"
"36","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.840429630256085"
"37","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8415350641651215"
"38","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8398216082221965"
"39","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8317453222689916"
"40","0.2608696","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.8400347653473584"
"41","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7929014606632858"
"44","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7695322336829941"
"43","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7861911274922398"
"45","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7821409378371821"
"42","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7828590129595364"
"46","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7844242433531382"
"47","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.783031922497744"
"48","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7763199447126259"
"49","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7936289835409641"
"50","0.3333333","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7778744290448781"
"51","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7284684480220893"
"52","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7200257749878991"
"54","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7372288010663726"
"55","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7313114376649267"
"53","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7324359381096212"
"56","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7389685113590475"
"57","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7257630957167072"
"58","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.72535848126754"
"60","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7326449504562822"
"59","0.4","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.7395778843936789"
"61","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6757863135337169"
"62","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6725097399629532"
"63","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6810854229549714"
"64","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6915267489035372"
"65","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6593474080393313"
"66","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6780725782268636"
"67","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6725786115494534"
"69","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6624678138171386"
"70","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6787718609545832"
"68","0.4615385","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6702243506668086"
"71","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6208441499627408"
"72","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6347528442840282"
"73","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6167088498484654"
"75","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6135486380425319"
"74","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6082098888362684"
"76","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.617992086494979"
"77","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6167868924684302"
"78","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6205984649617174"
"79","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6166336658885424"
"80","0.5185185","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.6137813970269225"
