"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 11:56:07:352 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","payoff_assessment","mutation_size","mutation_probability","baseline_fitness","strategy","cost","benefit","initial_heterogeneity","[step]","mean [strat_P] of patches"
"2","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9940493095416296"
"3","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9889150050525861"
"4","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9841258273708993"
"1","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9904545428457002"
"5","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9887422860218006"
"6","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9889532445181096"
"7","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9907106314534678"
"8","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9890446977960837"
"9","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.990884530879428"
"10","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0","1","0.02","10000","0.9918587081613557"
"11","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9519757192873101"
"13","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9636108578677872"
"14","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.941888660624423"
"15","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9534265399736038"
"12","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9569385165275792"
"16","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.955285556344289"
"17","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9514960964092696"
"18","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9411289681404146"
"19","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9499976430260145"
"20","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.0952381","1","0.02","10000","0.9446642546100207"
"21","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.9043202134237517"
"22","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8941628659949516"
"23","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8920122663188939"
"24","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8912998836785984"
"25","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.902571696739209"
"26","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8932373502100581"
"28","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.9073118923197061"
"29","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8948702235788383"
"27","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.8977175745178155"
"30","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.1818182","1","0.02","10000","0.9023506262083658"
"31","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8491120535703384"
"32","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8428989586445863"
"34","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8532267669093969"
"33","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8686100425323262"
"35","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8448456477170196"
"36","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8510703987504357"
"37","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8538878329341345"
"38","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.842243265745888"
"39","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8516664992221201"
"40","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.2608696","1","0.02","10000","0.8612793442777696"
"41","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.7973797707898836"
"43","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8141193145840808"
"44","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.7999783257100342"
"42","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8065645055016429"
"45","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.7993279766138282"
"46","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.808201541608184"
"47","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8031701432119451"
"49","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8195186639820423"
"48","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8097746030534121"
"50","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.3333333","1","0.02","10000","0.8179403377569493"
"51","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7642669148040456"
"52","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7434000275629049"
"53","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7678158808600418"
"54","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7631059465797647"
"55","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7545947832456052"
"56","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.758020144329518"
"58","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7629519495436831"
"59","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7467315192930165"
"57","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7488042567556839"
"60","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4","1","0.02","10000","0.7545209679283827"
"61","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7133161671557176"
"62","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7032667130453166"
"64","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7135432157187777"
"63","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7194927452307652"
"65","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7003948324137955"
"66","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7010427909497499"
"67","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7008446902544772"
"68","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7116447392268733"
"69","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.7144054323924637"
"70","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.4615385","1","0.02","10000","0.713136948340011"
"71","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5185185","1","0.02","10000","0.6391861814150761"
"73","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5185185","1","0.02","10000","0.6531516846015163"
"74","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5185185","1","0.02","10000","0.664610257446106"
