"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/14/2014 18:55:49:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","mutation_size","strategy","initial_propD","payoff_assessment","initial_heterogeneity","baseline_fitness","benefit","mutation_probability","cost","[step]","mean [probD] of patches","count patches with [strategy_current = ""C""] / count patches"
"1","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.008967114844649718","0.9896193771626297"
"2","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.009327663833608519","0.9900038446751249"
"3","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.00936149425148149","0.9884659746251442"
"5","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.015694253367593593","0.9792387543252595"
"4","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.014509250565858866","0.9850057670126874"
"6","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.012521993249642854","0.9873125720876585"
"7","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.008095727705773537","0.9876970396001538"
"8","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.010927048034069013","0.9911572472126106"
"10","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.017504971548861232","0.9850057670126874"
"9","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0","10000","0.00842538966432053","0.9911572472126106"
"11","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.04109922976809074","0.9607843137254902"
"12","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.03851187526780665","0.9665513264129181"
"13","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.05267538565693054","0.9469434832756632"
"14","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.04772774559198666","0.9504036908881199"
"15","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.05005105797536405","0.9477124183006536"
"17","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.0557283373964504","0.9384851980007689"
"16","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.036582728551707064","0.9703960015378701"
"18","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.05458771506659527","0.9457900807381776"
"19","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.04506948489271957","0.9538638985005767"
"20","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.0952381","10000","0.05574566586180856","0.9423298731257209"
"22","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.098183576384521","0.9092656670511342"
"21","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.11251067074086296","0.877354863514033"
"23","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.09829198494694764","0.9011918492887351"
"24","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.09404015960823629","0.895040369088812"
"25","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.08889708365822913","0.908881199538639"
"26","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.09368032623886217","0.8977316416762784"
"27","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.09719246790355446","0.9023452518262207"
"29","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.1078390151507967","0.8961937716262975"
"28","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.09918327196792538","0.9019607843137255"
"30","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.1818182","10000","0.08469396553423798","0.9165705497885429"
"31","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.2608696","10000","0.12843705315048654","0.8815840061514802"
"32","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.2608696","10000","0.1259651966706313","0.8696655132641292"
