"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:59:43:397 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","strategy","initial_propD","baseline_fitness","cost","mutation_rate","benefit","[step]","count patches with [strategy_current = ""C""] / count patches"
"2","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9596309111880046"
"4","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.960399846212995"
"3","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9519415609381008"
"1","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9600153787004998"
"5","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9511726259131104"
"7","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9596309111880046"
"6","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9588619761630143"
"8","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9615532487504805"
"9","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9588619761630143"
"10","0.02","""Mixed""","0.01","0","0","0.0020","1","10000","0.9634755863129566"
"11","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9307958477508651"
"13","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9373317954632834"
"14","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9369473279507882"
"15","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9331026528258363"
"12","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9384851980007689"
"16","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9277201076509035"
"17","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9319492502883506"
"18","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9361783929257977"
"19","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9284890426758939"
"20","0.02","""Mixed""","0.01","0","0.0952381","0.0020","1","10000","0.9373317954632834"
